epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,2098.01,0.51092,0.36425,0.95723,0.98657,0.98376,0.9907,0.94866,0.34197,0.189,0.94427,0.0075052,0.0075052,0.0075052
128,2114.42,0.5124,0.36608,0.95899,0.98718,0.9836,0.99079,0.94897,0.34038,0.18766,0.94372,0.0074854,0.0074854,0.0074854
129,2130.97,0.51351,0.36332,0.95883,0.98746,0.98312,0.99019,0.94908,0.3401,0.18831,0.94439,0.0074656,0.0074656,0.0074656
130,2147.07,0.51114,0.36382,0.9575,0.98702,0.98318,0.99125,0.95014,0.33862,0.18884,0.94327,0.0074458,0.0074458,0.0074458
131,2163.55,0.50835,0.35928,0.95767,0.98702,0.98256,0.99127,0.95096,0.33842,0.18674,0.94329,0.007426,0.007426,0.007426
132,2180.12,0.51187,0.36318,0.95839,0.98713,0.98287,0.99104,0.95016,0.3384,0.18669,0.94332,0.0074062,0.0074062,0.0074062
133,2196.61,0.5093,0.36134,0.95649,0.98726,0.98289,0.99097,0.95076,0.33816,0.18816,0.94318,0.0073864,0.0073864,0.0073864
134,2213.14,0.50858,0.36193,0.95674,0.9873,0.98294,0.99098,0.95086,0.33607,0.18629,0.94244,0.0073666,0.0073666,0.0073666
135,2229.77,0.50837,0.36032,0.95701,0.9873,0.98334,0.99118,0.951,0.33521,0.18606,0.94324,0.0073468,0.0073468,0.0073468
136,2246.95,0.50561,0.3577,0.95641,0.98743,0.98338,0.99128,0.95141,0.33403,0.18525,0.94235,0.007327,0.007327,0.007327
137,2262.57,0.50713,0.36077,0.95601,0.98759,0.98335,0.99149,0.95213,0.33377,0.18467,0.94272,0.0073072,0.0073072,0.0073072
138,2278.91,0.50704,0.35847,0.95529,0.98751,0.98303,0.99149,0.95311,0.33308,0.18574,0.94262,0.0072874,0.0072874,0.0072874
139,2295.61,0.50237,0.35837,0.95424,0.98755,0.98312,0.99138,0.95203,0.33258,0.18632,0.94251,0.0072676,0.0072676,0.0072676
140,2311.71,0.50395,0.35526,0.95364,0.9876,0.9832,0.99131,0.95224,0.33192,0.18686,0.94162,0.0072478,0.0072478,0.0072478
